date,CPI,Core_CPI,CGPI,nominal_wage
2021-01,100.0,100.0,100.0,100.0
2021-02,100.0,100.10020040080161,100.49850448654038,97.79326364692218
2021-03,100.10020040080161,100.3006012024048,101.49551345962114,104.18118466898956
2021-04,99.29859719438878,99.49899799599199,102.69192422731805,102.55516840882694
2021-05,99.5991983967936,99.6993987975952,103.2901296111665,100.8130081300813
2021-06,99.6993987975952,99.6993987975952,103.98803589232304,163.06620209059236
2021-07,99.8997995991984,100.0,105.08474576271188,136.58536585365854
2021-08,99.8997995991984,100.0,105.28414755732803,101.16144018583041
2021-09,100.3006012024048,100.0,105.68295114656033,99.41927990708479
2021-10,100.10020040080161,100.10020040080161,107.3778664007976,99.76771196283393
2021-11,100.3006012024048,100.3006012024048,108.07577268195413,104.06504065040652
2021-12,100.3006012024048,100.20040080160322,108.07577268195413,200.81300813008133
2022-01,100.50100200400803,100.3006012024048,109.17248255234297,100.23228803716609
2022-02,100.90180360721443,100.70140280561122,110.06979062811565,98.14169570267131
2022-03,101.30260521042085,101.10220440881766,111.16650049850449,105.34262485481997
2022-04,101.70340681362727,101.60320641282566,113.16051844466601,103.01974448315914
2022-05,102.00400801603206,101.80360721442885,113.16051844466601,101.0452961672474
2022-06,102.00400801603206,101.90380761523046,114.15752741774676,164.808362369338
2022-07,102.50501002004009,102.40480961923848,115.05483549351945,137.16608594657376
2022-08,102.9058116232465,102.70541082164328,115.55333998005983,101.97444831591173
2022-09,103.3066132264529,103.1062124248497,116.65004985044867,100.69686411149827
2022-10,103.90781563126252,103.60721442885772,117.84646061814557,100.34843205574914
2022-11,104.10821643286575,104.00801603206413,118.84346959122634,105.11033681765389
2022-12,104.30861723446894,104.30861723446894,119.54137587238287,207.2009291521487
2023-01,104.90981963927857,104.50901803607215,119.64107676969094,101.0452961672474
2023-02,104.20841683366733,103.80761523046091,119.3419740777667,98.95470383275263
2023-03,104.60921843687376,104.30861723446894,119.44167497507479,106.7363530778165
2023-04,105.31062124248496,105.01002004008015,120.03988035892323,103.83275261324043
2023-05,105.31062124248496,105.01002004008015,119.24227318045861,103.94889663182347
2023-06,105.4108216432866,105.21042084168337,119.24227318045861,168.52497096399537
2023-07,105.9118236472946,105.61122244488979,119.3419740777667,138.67595818815332
2023-08,106.1122244488978,105.9118236472946,119.64107676969094,102.78745644599303
2023-09,106.41282565130261,105.9118236472946,119.44167497507479,101.27758420441349
2023-10,107.31462925851703,106.61322645290583,119.24227318045861,101.8583042973287
2023-11,107.11422845691384,106.61322645290583,119.54137587238287,105.80720092915215
2023-12,107.01402805611222,106.61322645290583,119.84047856430709,208.8269454123113
2024-01,107.11422845691384,106.61322645290583,120.03988035892323,104.8780487804878
2024-02,107.11422845691384,106.71342685370742,120.23928215353938,102.55516840882694
2024-03,107.41482965931863,107.01402805611222,120.63808574277168,110.22067363530779
2024-04,107.91583166332666,107.31462925851703,121.43569292123628,107.89779326364695
2024-05,108.31663326653307,107.71543086172346,122.333000997009,108.47851335656216
2024-06,108.41683366733467,108.01603206412827,122.6321036889332,181.99767711962832
2024-07,108.81763527054107,108.51703406813627,123.23030907278165,147.0383275261324
2024-08,109.31863727454909,108.9178356713427,122.83150548354935,108.01393728222996
2024-09,109.1182364729459,108.41683366733467,123.23030907278165,106.38792102206736
2024-10,109.71943887775551,109.01803607214428,123.82851445663012,106.7363530778165
2024-11,110.22044088176352,109.4188376753507,124.2273180458624,112.54355400696865
2024-12,110.92184368737476,109.81963927855712,124.72582253240279,225.20325203252037
2025-01,111.42284569138276,110.02004008016033,125.1246261216351,106.7363530778165
2025-02,111.02204408817636,109.91983967935872,125.42372881355932,105.34262485481997
2025-03,111.32264529058116,110.42084168336675,125.82253240279164,112.77584204413473
2025-04,111.72344689378757,111.12224448897796,126.22133599202392,110.10452961672475
2025-05,112.02404809619237,111.62324649298598,126.12163509471586,109.9883855981417
2025-06,111.92384769539079,111.62324649298598,126.02193419740779,187.5725900116144
2025-07,112.124248496994,111.82364729458918,126.321036889332,152.03252032520328
2025-08,112.3246492985972,111.82364729458918,126.02193419740779,109.40766550522649
2025-09,112.2244488977956,111.62324649298598,126.62013958125624,108.5946573751452
2025-10,113.02605210420842,112.3246492985972,127.21834496510469,109.40766550522649
2025-11,113.42685370741484,112.72545090180361,127.61714855433699,114.40185830429735
2025-12,113.22645290581164,112.4248496993988,127.71684945164506,230.66202090592336
2026-01,113.12625250501003,112.2244488977956,128.11565304087736,109.40766550522649
2026-02,112.4248496993988,111.62324649298598,128.11565304087736,108.9430894308943
2026-03,112.9258517034068,112.3246492985972,129.31206380857427,116.26016260162602
2026-04,113.22645290581164,112.72545090180361,132.901296111665,113.93728222996515
